iso3,Country,year,avh,ccon,cda,cgdpe,cgdpo,ck,cn,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,emp,hc,irr,labsh,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_n,pl_x,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rnna,rtfpna,rwtfpna,xr
EGY,Egypt,1953,,18405.9140625,18769.7734375,19558.3203125,19990.861328125,,5383.18115234375,0.728429317474365,0.19228707253933,0.0182013176381588,-0.0877818688750267,0.0825279355049133,0.0663361698389053,,,0.0474857725203037,5.92041969299316,1.08440256118774,0.470315992832184,0.392437189817429,0.149433825213134,0.140409260988235,0.158576384186745,0.10622203139719,0.155145287513733,1.07756315752427,,0.188048034906387,0.67642092704773,0.150121480226517,23.4661871298014,53083.6015625,52571.609375,21000.96875,64992.078125,22156.59375,,58186.76953125,,,0.348140668512396
EGY,Egypt,1954,,20279.6015625,20660.82421875,20851.205078125,21052.50390625,0.0004165596910752,5598.6669921875,0.770096063613892,0.193190857768059,0.0181082058697939,-0.111750692129135,0.0695496052503586,0.0608059987425804,1.35556292533875,1.3297997713089,0.0495428256690502,6.02817010879517,1.08640956878662,0.454386860132217,0.392437189817429,0.147291503126926,0.138631656765938,0.157063499093056,0.104111841475736,0.155561700463295,1.13756655212315,33.7316589355469,0.171109318733215,0.705946743488312,0.159896537661552,24.0271708685509,58652.25,57785.12109375,22392.900390625,63238.765625,23314.9296875,0.0189977139234543,60663.94140625,0.963867783546448,0.882848918437958,0.348140668512396
ESP,Spain,1950,2205.05,104308.15625,122070.0390625,120661.8046875,119793.046875,,372216.84375,0.781665086746216,0.0890712216496468,0.148271396756172,-0.0422249473631382,0.0053555564954876,0.0178616922348738,,,0.0268262457102537,11.619631767273,1.8716995716095,0.10617621243,0.666634202003479,0.0534708600616517,0.0544936470687389,0.0569690354168415,0.0634693477347126,0.0573821775615215,0.0715059688653449,,0.0515162497758865,0.0417153164744377,0.0670851618051529,28.0101476903608,129796.3828125,161784.234375,119818.046875,161642.65625,120596.3046875,,725069.875,,,0.239142713652822
ESP,Spain,1951,2200.88,120013.515625,141779.25,141205.09375,141064.84375,,387096.75,0.760177373886108,0.0905910506844521,0.154295951128006,-0.0297477804124355,0.0063350237905979,0.0183483995497227,,,0.0272811185568571,11.6582279205322,1.87107384204865,0.119549058377743,0.666634202003479,0.0582069843842575,0.0591964423656464,0.0614733807742596,0.0674992993880499,0.0615344941616058,0.0740280948227897,,0.0657014325261116,0.0461643263697624,0.0716380551457405,28.2447517089075,149858.734375,187658.3125,139872.078125,188845.8125,142073.78125,,758898.5,,,0.238241193409182
ESP,Spain,1952,2196.82,129713.3984375,150238.21875,148096.53125,148829.015625,,401238,0.780059576034546,0.0915003195405006,0.137908682227135,-0.0322227440774441,0.0056833699345588,0.0170708391815424,,,0.0278478376567364,11.7046089172363,1.87044835090637,0.11933396756649,0.666634202003479,0.057939023522251,0.0587027221918106,0.0606527142226696,0.0652134107462185,0.0603541918098927,0.0729763377146932,,0.0776174888014793,0.0459225401282311,0.0752877071499825,28.4961373622851,161083.5,197159.71875,146051.171875,197923.484375,149063.96875,,785795.75,,,0.238301349396349
ESP,Spain,1953,2192.87,123147.0078125,144857.6875,142850.671875,143802.4375,,416469.15625,0.764318943023682,0.0920435562729836,0.150975778698921,-0.0326947495341301,0.008602044545114,0.0167543962597847,,,0.0284580886363983,11.7787504196167,1.86982309818268,0.102348275482655,0.666634202003479,0.0580187016761749,0.058833658695221,0.0613732449710369,0.0656009809135455,0.0609670430421829,0.0757782316110326,,0.0897162333130837,0.0483125448226929,0.0926462709903717,28.7499179443772,152142,190529.765625,140586.546875,191013.515625,143498.734375,,814487.875,,,0.238241193409182
ESP,Spain,1954,2209.89,136360.875,163778.921875,160992.84375,161960.890625,0.0333325453102589,438947.40625,0.748205065727234,0.0937320068478584,0.169288113713264,-0.0301654227077961,0.0041147973388433,0.0148254474624991,0.63930356502533,0.646216094493866,0.0291222147643566,11.8659267425537,1.86919808387756,0.102079696953297,0.666634202003479,0.0601364933695988,0.0601778328418732,0.0645248889923096,0.0605078324771552,0.064139224588871,0.0861445384491561,0.733675062656403,0.0903205797076225,0.053861640393734,0.0911046862602234,29.0057203184363,168596.625,217452.1875,158872.875,217391.09375,162023.625,0.0437347069382668,857941.25,0.504120349884033,0.495796203613281,0.234094215189601
ETH,Ethiopia,1950,,8193.3984375,8278.32421875,8451.142578125,8610.447265625,,5553.20703125,0.831959545612335,0.119605280458927,0.0098630534484982,-0.0221504084765911,0.0256019253283739,0.0351206138730049,,,0.039725910872221,7.82768821716309,,,,0.111994611438559,0.102151967585087,0.102745540440083,0.0336877722876984,0.100844614207745,0.160011857398067,,0.119506537914276,0.152469232678413,0.0605767667293549,19.0885085818235,12789.935546875,10506.09375,8645.08203125,11592.5244140625,9060.06640625,,14492.0302734375,,,2.49448800236644
ETH,Ethiopia,1951,,9279.72265625,9420.2373046875,9637.2587890625,9761.216796875,,5445.41259765625,0.828552484512329,0.122120201587677,0.0143952136859298,-0.0308430753648281,0.0250811036676168,0.0406940840184689,,,0.0379542112350464,7.94254159927368,,,,0.112125559689036,0.101224854588509,0.102184064686298,0.0272665476211201,0.100886419415474,0.165530727491653,,0.0871249213814735,0.164339572191238,0.0596823766827583,19.4072206373683,14523.333984375,12010.892578125,9878.94921875,13258.486328125,10304.14453125,,14306.6328125,,,2.48446989208516
ETH,Ethiopia,1952,,9656.3193359375,9821.3505859375,10081.443359375,10116.654296875,,5371.62255859375,0.831035494804382,0.123461820185184,0.0163128077983856,-0.0289983917027712,0.0238673966377974,0.0343208611011505,,,0.0365361273288727,8.06177616119385,,,,0.107429720436562,0.0976547673344612,0.0990007147192955,0.0318584454194695,0.098656140267849,0.177755061592982,,0.105946570634842,0.177716195583344,0.0950694605708122,19.7379373620795,15036.4951171875,12477.7802734375,10280.830078125,13713.576171875,10624.71484375,,14212.400390625,,,2.49448800236644
