iso3,country,year,summary_change,area,area_change,abs_share,signed_share,rank_abs
LVA,Latvia,2000,1.1600000000000001,d_efw_area3,4.485432684494361,0.6045063575824114,0.7733504628438552,1.0
MDG,Madagascar,2000,1.08,d_efw_area3,3.896337007905229,0.6033363575642101,0.7215438903528201,1.0
NGA,Nigeria,2000,1.13,d_efw_area3,3.6701289138042688,0.4276331809872136,0.6495803387264193,1.0
PER,Peru,2000,1.3000000000000007,d_efw_area3,4.098851040036308,0.612402541355466,0.6305924676978932,1.0
RWA,Rwanda,2000,1.3000000000000007,d_efw_area3,3.638303883793426,0.42370356070437104,0.5597390590451422,1.0
UGA,Uganda,2000,1.1399999999999997,d_efw_area3,4.7372931258112,0.6576241692451623,0.8311040571598599,1.0
UKR,Ukraine,2000,1.0300000000000002,d_efw_area3,1.1245354357348543,0.3076180856231187,0.21835639528832115,1.0
ZMB,Zambia,2000,1.04,d_efw_area3,5.049598581457835,0.634999894532152,0.971076650280353,1.0
ZWE,Zimbabwe,2000,-1.8600000000000003,d_efw_area4,-3.4997484987740806,0.3768267485753422,0.37631704287893336,1.0
ARG,Argentina,2005,-1.1499999999999995,d_efw_area3,-3.740258885602181,0.6289787188894488,0.6504798061916839,1.0
ARM,Armenia,2005,1.8800000000000008,d_efw_area3,3.789199331679697,0.4919521411829224,0.4031063118808187,1.0
BGR,Bulgaria,2005,1.5200000000000005,d_efw_area3,5.988472966338651,0.7873845909832013,0.7879569692550854,1.0
BLZ,Belize,2005,1.0199999999999996,d_efw_area1,2.51664946336504,0.44943228140376473,0.49346067909118446,1.0
KGZ,Kyrgyz Republic,2005,1.5300000000000002,d_efw_area3,5.889455287112893,0.6589220811214324,0.7698634362239075,1.0
LAO,Lao PDR,2005,1.38,d_efw_area3,3.0535631601455773,0.5500069757190202,0.44254538552834455,1.0
LSO,Lesotho,2005,1.7399999999999998,d_efw_area4,3.201711267947699,0.3684175215284385,0.3680127894192758,1.0
MDA,Moldova,2005,0.9900000000000002,d_efw_area3,4.697875467603604,0.84109813470335,0.9490657510310309,1.0
MNE,Montenegro,2005,1.2300000000000004,d_efw_area3,5.21522247338058,0.7350234998395179,0.8480036542082241,1.0
MRT,Mauritania,2005,1.04,d_efw_area1,3.0068377353921223,0.679124841327669,0.5782380260369466,1.0
ROU,Romania,2005,1.79,d_efw_area3,5.850630916298032,0.6521160007230346,0.653701778357322,1.0
SRB,Serbia,2005,1.2199999999999998,d_efw_area3,2.439847280866608,0.41226507045687827,0.3999749640764932,1.0
VEN,"Venezuela, RB",2005,-1.0600000000000005,d_efw_area4,-2.1671466748203185,0.4091388572501099,0.4088955990227014,1.0
ZWE,Zimbabwe,2005,-1.1,d_efw_area3,-1.7080398874124656,0.3094314014288761,0.3105527068022665,1.0
AGO,Angola,2010,1.04,d_efw_area3,4.365041636565339,0.7570046085756168,0.8394310839548729,1.0
BLR,Belarus,2010,0.9899999999999993,d_efw_area3,3.2815579263898242,0.8153971186432963,0.662940995230268,1.0
GIN,Guinea,2010,-1.3900000000000001,d_efw_area1,-3.6807495457933284,0.6226429468021768,0.5296042511932846,1.0
GMB,"Gambia, The",2010,1.42,d_efw_area3,2.596404848339257,0.4888521408291403,0.36569082370975453,1.0
IRQ,Iraq,2010,1.3199999999999998,d_efw_area3,4.959947237539654,0.8292468577141596,0.751507157202978,1.0
ISL,Iceland,2010,-1.4399999999999995,d_efw_area3,-2.6795785573517144,0.37237216464850376,0.37216368852107157,1.0
LBN,Lebanon,2010,1.3200000000000003,d_efw_area3,2.642817787485934,0.5328554113030222,0.40042693749786873,1.0
QAT,Qatar,2010,1.96,d_efw_area1,3.6466621253405997,0.5337343310239263,0.37210838013679587,1.0
SAU,Saudi Arabia,2010,1.21,d_efw_area1,1.9056585677565567,0.5137160844279379,0.31498488723248874,1.0
TJK,Tajikistan,2010,1.4799999999999995,d_efw_area3,3.0679480727421287,0.5556245374549055,0.41458757739758506,1.0
VEN,"Venezuela, RB",2010,-1.1099999999999994,d_efw_area3,-2.6311952237425804,0.47549700936900946,0.4740892295031679,1.0
YEM,"Yemen, Rep.",2010,1.75,d_efw_area3,2.5834301470350054,0.4728902898869489,0.29524915966114346,1.0
ZWE,Zimbabwe,2010,1.2100000000000004,d_efw_area4,2.6610715378874343,0.42149915242871866,0.4398465351880055,1.0
BLR,Belarus,2015,-1.2299999999999995,d_efw_area3,-4.458160627222359,0.8718249879221652,0.7249041670280261,1.0
GIN,Guinea,2015,1.02,d_efw_area3,3.0619908332081676,0.624712697439344,0.6003903594525819,1.0
MMR,Myanmar,2015,1.3399999999999994,d_efw_area4,3.1314903964384966,0.4666301019951559,0.46738662633410416,1.0
SYC,Seychelles,2015,0.9400000000000004,d_efw_area3,2.1895169685878413,0.6519122068601542,0.4658546741676256,1.0
ZWE,Zimbabwe,2015,1.0,d_efw_area3,3.579183819053134,0.712797750382031,0.7158367638106269,1.0
BLR,Belarus,2020,1.88,d_efw_area3,6.759400969355397,0.9484802234571825,0.7190852095058934,1.0
GIN,Guinea,2020,1.0,d_efw_area5,2.443294661027114,0.40357456295201843,0.4886589322054228,1.0
IRQ,Iraq,2020,1.3200000000000003,d_efw_area1,1.9481727824972705,0.4724424559126374,0.2951776943177682,1.0
LBN,Lebanon,2020,-1.4799999999999995,d_efw_area3,-4.380902620424031,0.5450850531176785,0.5920138676248693,1.0
SDN,Sudan,2020,-1.12,d_efw_area3,-4.271246338514543,0.6831254959823848,0.7627225604490255,1.0
UKR,Ukraine,2020,0.9699999999999998,d_efw_area3,4.129154508348522,0.851692006435392,0.8513720635770151,1.0
ZWE,Zimbabwe,2020,-1.5700000000000003,d_efw_area3,-6.206960288890064,0.7770872739803262,0.7906955782025559,1.0
