iso3,pc1,pc2,cluster
SGP,4.884394085617513,2.34783895442825,1
SLE,-1.56680783975547,-0.6582977631177114,3
SLV,-1.0100518273884496,0.5511829024005896,3
SRB,-0.09152998179892934,1.330191231379041,0
SUR,0.8600896132025152,-1.9066507259241803,1
SVK,1.4753989311900193,0.7798582620211698,1
SVN,0.9983374811859812,0.5121434342409206,1
SWE,1.3652072491991256,-0.4039356983536858,1
SWZ,0.8596021594502055,-1.41606371089125,3
SYC,1.4310002018907606,1.061159688880417,1
SYR,-1.6256898653032037,-1.3189920568779434,3
TCD,-0.3547333096677797,-1.8257343450935926,3
TGO,-0.16251525134512296,-0.9740956639133654,3
THA,0.7777232258625127,0.7916268410431571,1
TJK,-1.393258637640167,0.31386777203570526,0
TLS,1.5800359015557945,-0.2841002445705175,1
TUN,0.7540501267106829,-0.5306929520506205,1
TUR,-0.7735972495631844,0.6480007237672797,3
TZA,-1.4010968755124995,0.16820824388864564,3
UGA,-2.432095333470239,2.50504605546631,0
UKR,-2.1149711262000848,0.45754683238374505,0
URY,-0.14638510803379656,-0.15212425061890433,3
USA,1.6375854657109588,-0.9072082510442986,1
VEN,-2.4003655807491064,-3.067615192361367,3
VNM,1.391982224787657,1.0575139038176118,1
YEM,-0.2842948157099257,-2.7294160626692894,3
ZAF,0.14629788213206554,-1.2387731482730373,3
ZMB,-1.5742194425182905,-0.11182836986069429,3
ZWE,-1.4578876832183156,-1.7916233455241848,3
